City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Rikitea,PF,2020-05-06 22:48:01,-23.12,-134.97,78,66,74.84,12.19
Cape Town,ZA,2020-05-06 22:46:17,-33.93,18.42,29,93,59.0,3.36
Hermanus,ZA,2020-05-06 22:48:02,-34.42,19.23,37,78,61.79,9.19
Bluff,NZ,2020-05-06 22:48:02,-46.6,168.33,47,78,54.48,28.45
Saskylakh,RU,2020-05-06 22:48:02,71.92,114.08,74,93,5.94,7.56
Nikolskoye,RU,2020-05-06 22:48:02,59.7,30.79,77,65,45.0,11.18
Ushuaia,AR,2020-05-06 22:46:11,-54.8,-68.3,90,75,42.8,3.36
North Myrtle Beach,US,2020-05-06 22:48:03,33.82,-78.68,90,67,60.8,10.29
Kindu,CD,2020-05-06 22:48:03,-2.95,25.95,100,98,71.71,3.74
Sochaczew,PL,2020-05-06 22:48:03,52.23,20.24,35,99,39.0,9.8
Kiryat Gat,IL,2020-05-06 22:48:03,31.61,34.76,0,79,59.0,3.0
Faanui,PF,2020-05-06 22:48:03,-16.48,-151.75,100,77,82.4,14.54
Port Alfred,ZA,2020-05-06 22:48:03,-33.59,26.89,0,82,61.75,4.29
Sibolga,ID,2020-05-06 22:48:03,1.74,98.78,99,60,88.34,1.77
Atuona,PF,2020-05-06 22:48:04,-9.8,-139.03,5,78,81.16,16.64
Mahébourg,MU,2020-05-06 22:48:04,-20.41,57.7,20,94,71.6,2.24
Tuktoyaktuk,CA,2020-05-06 22:44:13,69.45,-133.04,75,85,21.2,10.29
Chokurdakh,RU,2020-05-06 22:44:22,70.63,147.92,91,97,28.9,7.34
Wasilla,US,2020-05-06 22:48:04,61.58,-149.44,75,25,64.4,11.41
Bud,US,2020-05-06 22:48:05,39.45,-86.18,12,60,51.01,5.79
North Platte,US,2020-05-06 22:48:05,41.12,-100.77,1,62,57.0,8.05
Renqiu,CN,2020-05-06 22:48:05,38.7,116.09,100,55,62.49,1.7
Lebu,CL,2020-05-06 22:48:05,-37.62,-73.65,45,80,56.91,15.57
Hilo,US,2020-05-06 22:48:05,19.73,-155.09,40,58,82.4,9.17
Venice of the Philippines,PH,2020-05-06 22:48:05,4.66,119.39,0,69,85.48,3.94
Kapaa,US,2020-05-06 22:48:05,22.08,-159.32,1,74,78.8,17.22
Bad Säckingen,DE,2020-05-06 22:48:06,47.55,7.95,0,87,42.01,2.82
Florianópolis,BR,2020-05-06 22:44:13,-27.61,-48.5,0,55,63.0,8.05
Bathsheba,BB,2020-05-06 22:45:01,13.22,-59.52,40,74,80.6,23.04
Huntington,US,2020-05-06 22:43:25,38.42,-82.45,1,49,48.2,3.36
Talnakh,RU,2020-05-06 22:48:06,69.49,88.4,75,86,30.2,6.71
Kaitangata,NZ,2020-05-06 22:44:08,-46.28,169.85,78,69,57.61,12.17
Avarua,CK,2020-05-06 22:48:06,-21.21,-159.78,15,78,82.4,4.7
Ahome,MX,2020-05-06 22:48:07,25.92,-109.18,10,54,81.0,1.01
Alice Springs,AU,2020-05-06 22:46:10,-23.7,133.88,35,15,82.4,18.34
Ambilobe,MG,2020-05-06 22:48:07,-13.2,49.05,64,81,70.32,2.95
Hithadhoo,MV,2020-05-06 22:48:07,-0.6,73.08,40,78,84.16,11.61
Colares,PT,2020-05-06 22:48:07,38.8,-9.45,100,87,62.01,8.05
Castro,BR,2020-05-06 22:44:16,-24.79,-50.01,81,90,46.38,7.63
Punta Arenas,CL,2020-05-06 22:44:41,-53.15,-70.92,75,100,37.4,5.82
Sonegaon,IN,2020-05-06 22:48:08,20.65,78.68,40,65,78.8,4.7
New Norfolk,AU,2020-05-06 22:48:08,-42.78,147.06,100,64,57.99,6.73
Sherghāti,IN,2020-05-06 22:48:08,24.57,84.78,20,69,78.8,6.29
Saint Paul Harbor,US,2020-05-06 22:48:08,57.79,-152.41,40,70,48.2,10.29
Half Moon Bay,US,2020-05-06 22:48:08,37.46,-122.43,5,27,73.4,11.41
Butaritari,KI,2020-05-06 22:44:09,3.07,172.79,44,77,83.66,9.13
Kavieng,PG,2020-05-06 22:48:09,-2.57,150.8,14,72,84.18,6.11
Bulgan,MN,2020-05-06 22:48:09,48.81,103.53,91,62,43.09,8.37
Vestmanna,FO,2020-05-06 22:48:09,62.16,-7.17,93,75,44.6,13.87
Yellowknife,CA,2020-05-06 22:48:09,62.46,-114.35,75,45,46.4,5.82
Vila do Maio,CV,2020-05-06 22:48:09,15.13,-23.22,20,73,71.6,13.87
Mar del Plata,AR,2020-05-06 22:44:33,-38.0,-57.56,75,93,53.01,4.7
Hong Kong,HK,2020-05-06 22:45:17,22.29,114.16,40,70,86.0,9.17
Mataura,NZ,2020-05-06 22:48:10,-46.19,168.86,88,80,55.47,9.19
Dinghaicun,CN,2020-05-06 22:48:10,26.28,119.79,90,88,69.8,8.95
Rio Grande,BR,2020-05-06 22:44:05,-32.03,-52.1,0,84,53.01,4.0
Albany,US,2020-05-06 22:48:10,42.6,-73.97,100,64,51.01,6.26
Seoul,KR,2020-05-06 22:48:10,37.57,126.98,99,21,75.2,9.17
Busselton,AU,2020-05-06 22:48:10,-33.65,115.33,100,76,63.0,5.01
Puerto Ayora,EC,2020-05-06 22:48:10,-0.74,-90.35,19,93,77.0,1.01
Ponta do Sol,PT,2020-05-06 22:48:11,32.67,-17.1,75,72,64.4,2.24
Barrow,US,2020-05-06 22:48:11,71.29,-156.79,1,78,14.0,13.87
Arraial do Cabo,BR,2020-05-06 22:47:36,-22.97,-42.03,66,83,74.53,17.11
Buchanan,LR,2020-05-06 22:48:11,5.88,-10.05,87,84,80.53,5.57
College,US,2020-05-06 22:48:11,64.86,-147.8,75,26,63.0,6.93
Soe,ID,2020-05-06 22:48:11,-9.86,124.28,32,70,78.46,8.12
Lebedinyy,RU,2020-05-06 22:48:11,58.52,125.52,100,83,41.25,12.3
Parvatsar,IN,2020-05-06 22:48:12,26.88,74.77,0,22,90.18,5.77
Villa María,AR,2020-05-06 22:48:12,-32.41,-63.24,100,79,42.01,3.0
Cabo San Lucas,MX,2020-05-06 22:43:16,22.89,-109.91,5,16,84.2,8.05
Nanortalik,GL,2020-05-06 22:48:12,60.14,-45.24,99,83,39.0,5.44
Naze,JP,2020-05-06 22:48:12,28.37,129.48,75,78,77.0,20.8
Cherskiy,RU,2020-05-06 22:44:48,68.75,161.3,100,86,34.86,5.17
Bilibino,RU,2020-05-06 22:45:10,68.05,166.44,100,89,31.71,2.71
Namatanai,PG,2020-05-06 22:48:13,-3.67,152.43,82,67,85.41,2.98
Collie,AU,2020-05-06 22:48:13,-33.37,116.15,82,77,57.99,8.01
Thompson,CA,2020-05-06 22:48:13,55.74,-97.86,5,42,30.2,5.82
Wilmington,US,2020-05-06 22:48:13,34.23,-77.94,75,87,59.0,11.41
Hasaki,JP,2020-05-06 22:48:14,35.73,140.83,40,51,69.01,12.75
Khatanga,RU,2020-05-06 22:48:14,71.97,102.5,100,91,14.34,13.09
Kodinsk,RU,2020-05-06 22:48:14,58.69,99.18,100,84,42.66,2.89
Tuatapere,NZ,2020-05-06 22:48:14,-46.13,167.68,65,72,57.02,12.66
Dingle,PH,2020-05-06 22:48:14,11.0,122.67,47,51,93.36,4.47
Khani,GE,2020-05-06 22:48:14,41.96,42.96,90,93,55.4,11.41
San Patricio,MX,2020-05-06 22:48:15,19.22,-104.7,0,76,74.53,1.77
Harper,LR,2020-05-06 22:45:11,4.38,-7.72,67,85,80.26,5.53
Taoudenni,ML,2020-05-06 22:48:15,22.68,-3.98,15,21,89.74,1.63
Upernavik,GL,2020-05-06 22:48:15,72.79,-56.15,100,94,18.63,7.0
Thinadhoo,MV,2020-05-06 22:43:48,0.53,72.93,4,80,84.22,12.86
Clyde River,CA,2020-05-06 22:48:15,70.47,-68.59,1,91,1.4,3.36
Ube,JP,2020-05-06 22:48:16,33.94,131.25,75,45,68.0,10.29
Fort-Shevchenko,KZ,2020-05-06 22:48:16,44.51,50.26,100,46,69.51,15.21
Noumea,NC,2020-05-06 22:48:16,-22.28,166.46,100,77,69.8,14.99
Tasiilaq,GL,2020-05-06 22:48:16,65.61,-37.64,1,80,30.2,16.11
Ilulissat,GL,2020-05-06 22:48:16,69.22,-51.1,0,63,30.2,5.82
Petropavlovka,RU,2020-05-06 22:48:16,50.61,105.32,19,42,51.3,8.1
Lethem,GY,2020-05-06 22:48:17,3.38,-59.8,100,85,77.23,5.03
Dumas,US,2020-05-06 22:48:17,35.87,-101.97,1,25,66.99,12.75
Bengkulu,ID,2020-05-06 22:48:17,-3.8,102.27,96,67,86.02,2.73
Saint-Philippe,RE,2020-05-06 22:48:17,-21.36,55.77,42,73,73.4,8.05
Vaini,TO,2020-05-06 22:48:17,-21.2,-175.2,75,88,78.8,11.41
Dikson,RU,2020-05-06 22:44:17,73.51,80.55,86,93,7.74,8.03
Waipawa,NZ,2020-05-06 22:44:12,-41.41,175.52,11,59,60.8,20.8
Prince Rupert,CA,2020-05-06 22:45:40,54.32,-130.32,23,72,50.2,5.99
Cayenne,GF,2020-05-06 22:48:18,4.93,-52.33,64,100,77.0,2.24
Jamestown,US,2020-05-06 22:45:44,42.1,-79.24,1,60,39.2,8.05
Aginskoye,RU,2020-05-06 22:48:18,51.1,114.53,0,44,51.1,19.15
Provideniya,RU,2020-05-06 22:48:18,64.38,-173.3,90,80,30.2,4.47
Airai,TL,2020-05-06 22:48:18,-8.93,125.41,33,88,71.04,4.32
Yumen,CN,2020-05-06 22:48:19,40.28,97.2,100,59,45.95,3.85
Aksarka,RU,2020-05-06 22:48:19,66.56,67.8,100,99,30.27,11.54
Nouadhibou,MR,2020-05-06 22:48:19,20.93,-17.03,0,88,64.4,13.87
Husavik,IS,2020-05-06 22:44:02,66.04,-17.34,90,78,42.8,11.41
Westport,US,2020-05-06 22:44:01,41.14,-73.36,100,94,44.01,2.53
Sittwe,MM,2020-05-06 22:48:19,20.15,92.9,2,71,85.77,10.02
Oranienburg,DE,2020-05-06 22:48:19,52.75,13.23,75,81,45.0,9.17
Skjervøy,NO,2020-05-06 22:48:20,70.03,20.97,100,93,39.11,34.63
Kashiwazaki,JP,2020-05-06 22:48:20,37.37,138.55,22,60,60.01,1.99
Tual,ID,2020-05-06 22:48:20,-5.67,132.75,50,76,83.21,19.95
Lorengau,PG,2020-05-06 22:48:20,-2.02,147.27,41,76,84.42,6.22
Touros,BR,2020-05-06 22:48:20,-5.2,-35.46,40,94,75.2,3.36
Boa Vista,BR,2020-05-06 22:44:58,2.82,-60.67,40,88,77.0,4.7
Qaanaaq,GL,2020-05-06 22:44:14,77.48,-69.36,100,91,10.47,4.45
The Valley,AI,2020-05-06 22:45:57,18.22,-63.06,20,74,82.4,11.41
San Quintín,MX,2020-05-06 22:48:21,30.48,-115.95,0,64,69.13,5.59
Rodrigues Alves,BR,2020-05-06 22:44:39,-7.74,-72.65,97,95,74.12,0.96
Tiksi,RU,2020-05-06 22:48:21,71.69,128.87,98,96,22.05,13.82
Austin,US,2020-05-06 22:43:16,30.27,-97.74,1,31,75.2,6.04
Meulaboh,ID,2020-05-06 22:48:21,4.14,96.13,100,66,86.86,0.72
Esperance,AU,2020-05-06 22:48:22,-33.87,121.9,90,62,57.2,21.92
Mangan,IN,2020-05-06 22:48:22,27.52,88.53,1,36,74.32,4.45
Camacha,PT,2020-05-06 22:48:22,33.08,-16.33,40,88,62.6,4.7
Erzin,TR,2020-05-06 22:48:22,36.96,36.2,46,84,66.99,18.01
Hobart,AU,2020-05-06 22:44:08,-42.88,147.33,75,72,59.0,10.29
Quatre Cocos,MU,2020-05-06 22:48:22,-20.21,57.76,20,94,73.99,2.24
Warmbad,NA,2020-05-06 22:48:22,-28.45,18.73,0,25,65.08,10.83
Sterling,US,2020-05-06 22:48:23,39.01,-77.43,90,70,46.4,18.34
Magomeni,TZ,2020-05-06 22:48:23,-6.8,39.25,5,85,74.86,9.31
Port Elizabeth,ZA,2020-05-06 22:48:23,-33.92,25.57,40,88,62.6,6.93
Homer,US,2020-05-06 22:48:23,59.64,-151.55,1,66,53.01,13.87
Buraidah,SA,2020-05-06 22:48:23,26.33,43.98,67,37,71.6,9.17
Mount Gambier,AU,2020-05-06 22:44:26,-37.83,140.77,75,48,62.6,17.22
Tyristrand,NO,2020-05-06 22:48:24,60.08,10.1,92,61,42.01,1.41
Calvinia,ZA,2020-05-06 22:48:24,-31.47,19.78,49,32,59.25,5.14
Mandalgovi,MN,2020-05-06 22:48:24,45.76,106.27,74,46,46.67,13.62
Bien Hoa,VN,2020-05-06 22:48:24,10.95,106.82,40,63,91.4,8.05
Srandakan,ID,2020-05-06 22:48:24,-7.94,110.25,100,71,83.35,6.62
Mahibadhoo,MV,2020-05-06 22:48:24,3.78,72.97,0,75,84.65,10.69
Havøysund,NO,2020-05-06 22:48:25,71.0,24.66,98,93,35.6,27.51
Saint George,US,2020-05-06 22:45:40,37.1,-113.58,1,8,87.8,6.93
Sioux Lookout,CA,2020-05-06 22:48:25,50.1,-91.92,20,35,41.0,8.05
Melo,UY,2020-05-06 22:48:25,-32.37,-54.18,0,89,44.46,7.83
Sault Ste. Marie,CA,2020-05-06 22:44:48,46.52,-84.33,1,69,37.4,4.7
Mazyr,BY,2020-05-06 22:48:25,52.05,29.25,100,95,50.36,9.46
Lüderitz,NA,2020-05-06 22:48:25,-26.65,15.16,0,27,71.73,6.76
Bambous Virieux,MU,2020-05-06 22:44:14,-20.34,57.76,20,94,73.99,2.24
Riverton,US,2020-05-06 22:46:49,40.52,-111.94,1,48,60.8,13.87
Juchipila,MX,2020-05-06 22:48:26,21.42,-103.12,28,31,79.41,9.6
Rocky Mountain House,CA,2020-05-06 22:48:26,52.37,-114.92,100,64,49.6,7.11
Linjiang,CN,2020-05-06 22:48:26,41.81,126.91,100,24,70.0,6.93
Beloha,MG,2020-05-06 22:48:26,-25.17,45.05,0,95,61.95,1.7
Young,UY,2020-05-06 22:48:27,-32.68,-57.63,85,72,50.83,3.42
Bredasdorp,ZA,2020-05-06 22:48:27,-34.53,20.04,69,93,50.0,1.12
Krasnovishersk,RU,2020-05-06 22:48:27,60.41,57.08,86,68,56.28,6.8
Tsabong,BW,2020-05-06 22:48:27,-26.02,22.4,0,31,59.79,7.2
Nkhotakota,MW,2020-05-06 22:48:27,-12.93,34.3,74,75,70.63,13.8
Teya,RU,2020-05-06 22:48:27,60.38,92.63,100,87,41.76,2.84
Cardston,CA,2020-05-06 22:48:28,49.2,-113.3,90,81,51.8,9.17
Ribeira Grande,PT,2020-05-06 22:48:28,38.52,-28.7,62,89,62.49,11.36
Caledon,ZA,2020-05-06 22:48:28,-34.23,19.43,14,82,56.82,5.32
